happy_words,sad_words
happy,sad
joyful,unhappy
cheerful,sorrowful
content,dejected
delighted,mournful
elated,melancholy
ecstatic,despairing
excited,despondent
gleeful,heartbroken
jovial,downcast
jubilant,gloomy
lively,disheartened
merry,forlorn
overjoyed,grief-stricken
pleased,woeful
radiant,regretful
thrilled,tragic
upbeat,miserable
blissful,somber
buoyant,dismal
chipper,blue
euphoric,tearful
exuberant,doleful
festive,sullen
glad,down
grinning,woe
jolly,
lighthearted,
optimistic,
peppy,
perky,
satisfied,
smiling,
sunny,
vibrant,
